Cell-Cell contact name,Contact mean value,Normality test P-value,Contact Time Point,Relative Contact Area
ABprapap->ABprappa,5305.21080752,0.0715602542696,22.978021978,0.184473084324
MSapp->ABplpapp,5472.83016841,0.339102977462,10.0549450549,0.179137253978
ABarapp->MSppa,5822.05583195,0.0625079513688,11.5164835165,0.139333155934
Ear->MSpap,3605.0187784,0.0591654791963,17.5714285714,0.0990329070583
MSpappa->ABprpappap,1572.91845185,0.799744241464,17.3516483516,0.1234721941
ABarpapppp->ABarpppaaa,1841.92056882,0.386973773391,8.24175824176,0.156586631447
ABalpaapaa->ABaraapaaa,1360.81028299,0.799005293914,14.4285714286,0.109507677037
ABarpapp->ABpraaap,3448.58964481,0.581358357017,21.4065934066,0.127103425057
MSp->ABprpa,11679.8954579,8.69526996167e-05,6.34065934066,0.16171929109
Eplp->Dapp,2364.78985246,0.740982328877,16.2087912088,0.161903343611
ABplaappa->ABalppppp,2422.84146099,0.564740287762,27.0659340659,0.133221082185
Dap->ABplppppp,1962.74169863,0.934887277039,8.64835164835,0.145128703549
ABplpappa->MSaappa,2211.43246314,0.0734162062195,14.6483516484,0.13012553803
ABprpapap->ABprppaap,1907.91118072,0.443252894675,21.032967033,0.130173465093
ABaraapaa->ABaraaaap,2063.28903108,0.571033105654,28.7142857143,0.116048798107
MSaaap->MSaapa,3319.95484692,0.259913987373,17.021978022,0.147174810431
MSaaap->MSpaap,1478.6118846,0.248399429501,10.5054945055,0.0954240335887
ABarapaaa->ABaraaapp,1458.16462168,0.00524427141509,23.4175824176,0.0940056614855
ABarapaaa->ABaraaapa,2137.70241432,0.234348111673,26.9450549451,0.118408494684
ABplpppaa->ABplppapa,1791.22882786,0.117621306959,26.1538461538,0.11051478668
ABpraapap->ABprapaaa,1729.4101311,0.0866042913512,18.9230769231,0.121640166314
ABarpapaa->ABalaappp,1198.97936576,0.150224889218,15.2967032967,0.0935147271054
ABprpapa->ABprppaa,1910.36826566,0.0394821309527,13.4175824176,0.0899469752864
ABprpppaa->ABprppapp,2527.42319988,0.236433183199,32.032967033,0.145563163026
Dppa->Dpaa,1791.86003576,0.479395129218,22.2417582418,0.131932140884
Dppa->Dpap,2025.27810999,0.00940997135375,21.8461538462,0.152378771442
ABala->ABara,17979.3027796,0.55324528299,11.1758241758,0.172141725819
ABala->ABpla,15622.8196008,0.0334303374375,10.9450549451,0.149300633044
ABplppaaa->ABplpaappp,1483.76465947,0.00749831667934,11.1648351648,0.113747832706
ABara->ABpra,8477.1839166,0.170246216656,10.2087912088,0.0827520465743
Ea->P4,3677.51923287,0.0330260046005,10.1318681319,0.0847760890663
Ea->Caa,4670.26157238,0.332865419692,7.37362637363,0.0879929457547
Ea->MSpp,11573.4284279,0.357288704924,14.1648351648,0.18563118476
ABpraappp->ABprapapa,1670.37674517,0.588899697923,9.40659340659,0.111575554836
ABarppapa->ABplapapaa,2699.52440984,0.478891629053,10.9340659341,0.199462587243
Cpaap->Cpapa,4184.22229539,0.283477832118,32.6813186813,0.214869210002
Cpaap->Caaap,2604.83552029,0.230596809607,24.3626373626,0.161806741769
Capaa->ABplppppap,1057.43383621,0.827057188395,13.0989010989,0.0956588551848
Epr->ABarpppp,4325.18347943,0.012758223168,16.8791208791,0.150960321922
ABalaaaa->ABalaaapa,3280.90238435,0.280409184026,3.92307692308,0.160944022391
Dap->Dpp,3936.17924756,0.678380829913,19.7912087912,0.203174951156
ABarppap->Caaaa,4710.0251669,0.411576891518,7.31868131868,0.20712124938
ABplappp->ABplppap,2922.64756064,0.304620916964,15.8131868132,0.129771380478
MSpa->ABaraap,5349.52188149,4.63016995606e-05,6.06593406593,0.114027049012
ABalpappap->ABalpapppa,1347.37956834,0.0189852701315,19.9450549451,0.101490893111
MSpapp->Z2,3838.17600915,0.307160334105,24.5384615385,0.169510916311
ABalpapa->ABalppaa,2404.54204697,0.958896200824,17.8461538462,0.0969705871901
MSaapap->ABalpapppp,1650.7782517,0.658509965762,13.2417582418,0.111739209475
MSaaapap->MSaaaapp,1494.37042925,0.0112295170182,12.043956044,0.122064666811
ABprpaaaa->ABpraaaap,2472.65774146,0.0816398839891,27.8021978022,0.140446794522
ABalpppap->ABalpppppa,2104.91695002,0.140152865632,5.78021978022,0.127386563577
MSaaap->MSapaa,2491.39109951,0.827229574225,17.6923076923,0.113843135893
Caapp->ABplapppp,1166.3234047,0.0177564088391,15.978021978,0.0972018567013
Daa->Dapa,3119.75153537,0.0191506257021,3.95604395604,0.175858924025
Daa->MSapppp,1881.35835989,0.525111286683,7.51648351648,0.109377135993
P4->ABplppp,3139.10928206,0.00952456149039,8.6043956044,0.115344114175
ABplpapapa->ABplppaapa,1708.33285735,0.0209572069033,8.72527472527,0.143913788135
MSpapapp->MSaapapp,1348.61005498,0.221612417844,7.73626373626,0.11616723486
ABalaaaal->ABalpaappa,1974.43965433,0.190648815029,5.86813186813,0.151499708966
E->P3,20704.1299412,0.479928249183,9.85714285714,0.156183994102
E->ABplp,17845.2304762,0.0353830792138,4.40659340659,0.155901942473
ABpraappa->ABprapaaa,1894.64017133,0.668576096915,28.1428571429,0.117917016191
ABpraappa->ABpraapap,2530.39192064,0.128914524332,32.8021978022,0.140782665903
ABpraappp->ABprapaaa,1657.48176945,0.400869037119,22.5274725275,0.103470285108
ABplaapppa->ABplaappap,2327.36073541,0.963136874798,16.2417582418,0.182179909489
ABarappaa->ABarapppa,2530.10061698,0.0181365786884,30.3956043956,0.146672571825
ABarpaap->ABalapap,2960.17150841,0.36043906483,17.9340659341,0.113380222502
P2->E,34379.6382784,2.235286968e-08,2.14285714286,0.21108753969
ABarapapap->ABarappaap,1202.08635697,0.958347605966,9.65934065934,0.106647240342
ABaraap->ABalaap,3444.94787912,0.10362423851,14.5934065934,0.0872244534831
ABpraaappp->ABpraapapp,1081.06942485,0.998078519853,12.7802197802,0.0950212294474
ABarpap->ABpraaa,3050.9512626,0.00196451934862,14.4505494505,0.0757290097043
ABarpap->ABarppa,3770.71057325,0.0255297546457,16.8791208791,0.0890615439737
ABpraaapp->ABpraaaap,1827.50363376,0.00831192441817,21.7032967033,0.109924104515
ABalppaa->ABalpaapp,2052.01738599,6.32633973797e-05,5.79120879121,0.107714055763
ABalppaa->ABalppapa,2565.11054269,0.728639057327,5.40659340659,0.124371786475
ABprpaa->MSppa,4119.79868908,0.367653744091,10.7692307692,0.10358887413
MSpapa->MSaapp,3446.95047391,0.277031555529,20.8681318681,0.137485632922
ABarappaa->ABarapapaa,1531.96686664,0.273961294057,6.89010989011,0.109111334026
ABprapaapp->ABprappapa,2211.95641246,5.56614904901e-07,9.2967032967,0.182074082998
ABprapp->ABprppa,8042.12845389,0.659312575085,18.4175824176,0.183765407343
ABprapp->Epr,4427.63754838,0.0050826655397,13.4065934066,0.106691752104
MSaapap->MSaapaap,1727.06211035,0.827277421589,7.21978021978,0.125775736294
ABarpaapp->ABarpppaa,3462.38409057,0.0221358145039,25.8791208791,0.194057432546
MSaappp->Daap,2185.85313604,0.193517507289,23.043956044,0.162610816421
ABplapaa->ABplaaap,4716.0192427,0.000378004317329,24.0659340659,0.165643713583
Z2->Dap,2234.08435941,0.14479619125,25.6813186813,0.119370215524
Z2->Daa,2580.22574299,0.377607586555,27.2967032967,0.137944009972
Z2->Dpp,2430.18061521,0.357082729906,27.1428571429,0.13015600938
Z2->Dpa,2993.58042032,0.978573444224,31.4285714286,0.151191026004
Capaa->Dapp,1521.44819997,0.424107411984,21.6153846154,0.11827722338
ABarpapapp->ABarpappap,1926.30260063,0.868352919225,10.2307692308,0.159214554213
ABalpaapp->MSapaaa,1871.96030669,9.94665477818e-05,20.9450549451,0.110786956877
ABarpaapaa->ABplaaaapp,1543.93882726,0.029388706939,14.010989011,0.124609261883
ABalaapppa->ABalaappap,1088.58329949,0.748653175604,7.54945054945,0.0990063082538
ABalaaapa->MSaaaaa,1228.88316272,0.000573567623713,21.8461538462,0.0792382596579
Cp->ABprpp,8123.66949149,0.0766000101189,10.9230769231,0.118183415014
ABprpppaap->ABprpppapa,1909.88525474,0.0622773772197,13.5164835165,0.152904796816
MSapa->ABplpapa,3918.99709399,0.902574032405,9.48351648352,0.1299669687
ABprapaa->ABprapapa,3716.53565071,0.968734815007,3.17582417582,0.160066455825
ABalppaaa->MSapaaa,1139.35520998,0.0660728620817,23.7912087912,0.0808715682261
MSapppp->Daaa,2005.99134937,0.105611500461,23.1428571429,0.146236916701
ABprpa->MSpp,12526.0689283,0.160697537262,10.9230769231,0.18977488234
Caa->Cpa,5001.98539449,0.0783198690148,16.6923076923,0.115654193578
Cppp->Cpapp,5250.71064231,0.00507163286537,7.91208791209,0.225517753437
MSpapaa->MSaapap,2050.85391613,0.677893846918,26.6153846154,0.118022529878
ABalapp->ABaraap,3549.87955844,0.528894100556,15.7802197802,0.0867314513776
Z2->Cppap,1223.87118559,0.0023022020799,20.5604395604,0.103982930596
Z2->Cppaa,1481.1021706,0.56037872545,26.1208791209,0.122736705951
MSp->Ea,12748.8284749,0.0860748871424,13.4395604396,0.151059930994
ABalpppp->ABplpapa,2178.42811408,0.0264944949693,15.3846153846,0.0895301711514
ABprpaapp->ABpraappa,1951.41980424,0.305197341148,27.3846153846,0.1142899198
ABprpaapp->ABpraappp,2328.89645712,0.499126775835,29.0879120879,0.12772391688
ABplapp->ABplaap,4878.80911291,0.355428379345,17.2307692308,0.112961459552
